candlestick_code3,label_increase,label_decrease,occurrence,percentage
DPH,22,25,47,0.47
DPI,10,10,20,0.5
DPK,18,10,28,0.64
DPL,59,51,110,0.54
DPM,97,145,242,0.4
DPN,96,98,194,0.49
DPP,154,165,319,0.48
DPS,90,102,192,0.47
DPb,94,93,187,0.5
DPh,9,9,18,0.5
DPl,49,46,95,0.52
DPm,144,105,249,0.58
DPn,95,90,185,0.51
DPs,82,78,160,0.51
DPt,11,8,19,0.58
DSB,68,74,142,0.48
DSD,29,20,49,0.59
DSH,26,28,54,0.48
DSI,6,3,9,0.67
DSK,2,1,3,0.67
DSL,38,24,62,0.61
DSM,94,92,186,0.51
DSN,71,68,139,0.51
DSP,99,99,198,0.5
DSS,95,91,186,0.51
DSb,67,62,129,0.52
DSh,49,42,91,0.54
DSl,27,26,53,0.51
DSm,94,94,188,0.5
DSn,94,80,174,0.54
DSs,101,86,187,0.54
DSt,12,10,22,0.55
DbB,63,67,130,0.48
DbD,8,15,23,0.35
DbH,15,17,32,0.47
DbI,10,5,15,0.67
DbJ,26,17,43,0.6
DbK,8,14,22,0.36
DbL,19,20,39,0.49
DbM,93,87,180,0.52
DbN,87,69,156,0.56
DbP,104,72,176,0.59
DbS,48,40,88,0.55
Dbb,73,75,148,0.49
Dbl,25,25,50,0.5
Dbm,86,75,161,0.53
Dbn,62,70,132,0.47
Dbs,44,31,75,0.59
DhB,2,3,5,0.4
DhD,0,0,0,
DhH,1,0,1,1.0
DhK,0,1,1,0.0
DhL,0,1,1,0.0
DhM,3,3,6,0.5
DhN,3,2,5,0.6
DhP,6,4,10,0.6
DhS,5,3,8,0.62
Dhb,2,3,5,0.4
Dhh,1,2,3,0.33
Dhl,0,1,1,0.0
Dhm,3,5,8,0.38
Dhn,6,4,10,0.6
Dhs,2,3,5,0.4
DlB,30,23,53,0.57
DlD,4,5,9,0.44
DlH,15,19,34,0.44
DlI,5,0,5,1.0
DlJ,9,11,20,0.45
DlK,2,2,4,0.5
DlL,22,5,27,0.81
DlM,37,27,64,0.58
DlN,32,23,55,0.58
DlP,40,28,68,0.59
DlS,24,17,41,0.59
Dlb,37,24,61,0.61
Dll,9,14,23,0.39
Dlm,40,32,72,0.56
Dln,24,20,44,0.55
Dls,15,23,38,0.39
DmB,91,96,187,0.49
DmD,43,40,83,0.52
DmH,85,92,177,0.48
DmI,5,3,8,0.62
DmJ,18,19,37,0.49
DmK,0,4,4,0.0
DmL,37,33,70,0.53
DmM,116,126,242,0.48
DmN,111,104,215,0.52
DmP,97,114,211,0.46
DmS,71,93,164,0.43
Dmb,102,92,194,0.53
Dmh,1,6,7,0.14
Dml,27,24,51,0.53
Dmm,134,121,255,0.53
Dmn,94,76,170,0.55
Dms,64,53,117,0.55
Dmt,0,0,0,
DnB,41,67,108,0.38
DnD,26,20,46,0.57
DnH,45,35,80,0.56
DnI,11,12,23,0.48
DnK,9,7,16,0.56
DnL,21,21,42,0.5
DnM,80,99,179,0.45
DnN,98,102,200,0.49
DnP,96,114,210,0.46
DnS,82,61,143,0.57
Dnb,75,64,139,0.54
Dnh,2,1,3,0.67
Dnl,28,20,48,0.58
Dnm,80,70,150,0.53
Dnn,77,86,163,0.47
Dns,43,51,94,0.46
DsB,44,43,87,0.51
DsD,19,20,39,0.49
DsH,66,79,145,0.46
DsI,9,6,15,0.6
DsK,0,3,3,0.0
DsL,19,23,42,0.45
DsM,59,89,148,0.4
DsN,74,52,126,0.59
DsP,65,77,142,0.46
DsS,84,85,169,0.5
Dsb,66,50,116,0.57
Dsh,3,4,7,0.43
Dsl,19,35,54,0.35
Dsm,74,64,138,0.54
Dsn,54,51,105,0.51
Dss,49,63,112,0.44
Dst,0,0,0,
DtB,13,8,21,0.62
DtD,4,4,8,0.5
DtH,6,3,9,0.67
DtK,2,0,2,1.0
DtL,3,8,11,0.27
DtM,9,14,23,0.39
DtN,13,12,25,0.52
DtP,16,18,34,0.47
DtS,9,8,17,0.53
Dtb,8,6,14,0.57
Dtl,1,4,5,0.2
Dtm,18,3,21,0.86
Dtn,10,12,22,0.45
Dts,8,7,15,0.53
Dtt,3,2,5,0.6
HBB,142,146,288,0.49
HBD,18,23,41,0.44
HBH,2,2,4,0.5
HBK,11,20,31,0.35
HBL,46,71,117,0.39
HBM,127,179,306,0.42
HBN,177,182,359,0.49
HBP,176,208,384,0.46
HBS,91,99,190,0.48
HBb,180,149,329,0.55
HBh,16,26,42,0.38
HBj,44,43,87,0.51
HBl,80,78,158,0.51
HBm,147,145,292,0.5
HBn,195,234,429,0.45
HBs,98,92,190,0.52
HBt,30,29,59,0.51
HDB,24,14,38,0.63
HDD,8,5,13,0.62
HDH,31,25,56,0.55
HDI,3,0,3,1.0
HDK,1,0,1,1.0
HDL,11,8,19,0.58
HDM,37,35,72,0.51
HDN,29,26,55,0.53
HDP,46,33,79,0.58
HDS,40,41,81,0.49
HDb,33,20,53,0.62
HDh,0,3,3,0.0
HDl,10,10,20,0.5
HDm,41,39,80,0.51
HDn,38,28,66,0.58
HDs,21,32,53,0.4
HDt,2,5,7,0.29
HHB,39,25,64,0.61
HHD,6,14,20,0.3
HHH,23,14,37,0.62
HHI,3,6,9,0.33
HHK,9,7,16,0.56
HHL,14,10,24,0.58
HHM,40,47,87,0.46
HHN,55,43,98,0.56
HHP,53,52,105,0.5
HHS,52,62,114,0.46
HHb,44,35,79,0.56
HHh,7,10,17,0.41
HHl,14,11,25,0.56
HHm,41,31,72,0.57
HHn,35,36,71,0.49
HHs,45,36,81,0.56
HHt,2,1,3,0.67
HIB,14,17,31,0.45
HID,6,3,9,0.67
HIH,17,19,36,0.47
HII,2,2,4,0.5
HIL,4,12,16,0.25
HIM,20,34,54,0.37
HIN,25,20,45,0.56
HIP,35,40,75,0.47
HIS,17,23,40,0.42
HIb,23,16,39,0.59
HIl,10,2,12,0.83
HIm,23,16,39,0.59
HIn,24,19,43,0.56
HIs,15,18,33,0.45
HIt,0,3,3,0.0
HKB,15,15,30,0.5
HKD,2,1,3,0.67
HKH,2,2,4,0.5
HKI,2,0,2,1.0
HKK,0,1,1,0.0
HKL,11,10,21,0.52
HKM,16,16,32,0.5
HKN,17,17,34,0.5
HKP,32,24,56,0.57
HKS,17,17,34,0.5
HKb,21,17,38,0.55
HKh,15,16,31,0.48
HKl,7,8,15,0.47
HKm,16,21,37,0.43
HKn,17,16,33,0.52
HKs,14,19,33,0.42
HKt,4,0,4,1.0
HLB,63,48,111,0.57
HLD,11,11,22,0.5
HLH,1,0,1,1.0
HLK,5,11,16,0.31
HLL,23,27,50,0.46
HLM,81,86,167,0.49
HLN,70,75,145,0.48
HLP,80,98,178,0.45
HLS,58,74,132,0.44
HLb,65,78,143,0.45
HLh,29,45,74,0.39
HLj,23,19,42,0.55
HLl,50,33,83,0.6
HLm,72,70,142,0.51
HLn,90,111,201,0.45
HLs,58,48,106,0.55
HLt,7,17,24,0.29
HMB,179,184,363,0.49
HMD,30,34,64,0.47
HMH,0,3,3,0.0
HMI,2,0,2,1.0
HMK,5,3,8,0.62
HML,69,74,143,0.48
HMM,202,249,451,0.45
HMN,222,223,445,0.5
HMP,262,288,550,0.48
HMS,147,176,323,0.46
HMb,219,207,426,0.51
HMh,183,204,387,0.47
HMj,56,55,111,0.5
HMl,107,85,192,0.56
HMm,237,194,431,0.55
HMn,329,324,653,0.5
HMs,142,138,280,0.51
HMt,32,35,67,0.48
HNB,148,175,323,0.46
HND,37,29,66,0.56
HNH,33,33,66,0.5
HNI,3,2,5,0.6
HNK,22,31,53,0.42
HNL,71,71,142,0.5
HNM,224,252,476,0.47
HNN,265,278,543,0.49
HNP,327,345,672,0.49
HNS,168,204,372,0.45
HNb,214,196,410,0.52
HNh,73,107,180,0.41
HNl,109,101,210,0.52
HNm,247,187,434,0.57
HNn,311,336,647,0.48
HNs,197,159,356,0.55
HNt,41,43,84,0.49
HPB,210,228,438,0.48
HPD,41,25,66,0.62
HPH,96,87,183,0.52
HPI,35,24,59,0.59
HPK,42,35,77,0.55
HPL,124,141,265,0.47
HPM,358,374,732,0.49
HPN,307,337,644,0.48
HPP,458,473,931,0.49
HPS,254,257,511,0.5
HPb,300,253,553,0.54
HPh,42,42,84,0.5
HPl,162,139,301,0.54
HPm,322,282,604,0.53
HPn,310,302,612,0.51
HPs,241,205,446,0.54
HPt,27,31,58,0.47
HSB,107,126,233,0.46
HSD,27,22,49,0.55
HSH,60,71,131,0.46
HSI,3,5,8,0.38
HSK,7,10,17,0.41
HSL,69,49,118,0.58
HSM,168,220,388,0.43
HSN,158,145,303,0.52
HSP,205,203,408,0.5
HSS,193,236,429,0.45
HSb,143,141,284,0.5
HSh,119,126,245,0.49
HSl,90,81,171,0.53
HSm,176,177,353,0.5
HSn,190,177,367,0.52
HSs,212,208,420,0.5
HSt,37,18,55,0.67
HbB,186,164,350,0.53
HbD,27,26,53,0.51
HbH,53,57,110,0.48
HbI,18,12,30,0.6
HbJ,59,49,108,0.55
HbK,22,30,52,0.42
HbL,75,94,169,0.44
HbM,197,205,402,0.49
HbN,279,223,502,0.56
HbP,280,243,523,0.54
HbS,129,109,238,0.54
Hbb,228,208,436,0.52
Hbh,0,2,2,0.0
Hbl,76,67,143,0.53
Hbm,184,137,321,0.57
Hbn,195,189,384,0.51
Hbs,121,102,223,0.54
HhB,59,55,114,0.52
HhD,7,15,22,0.32
HhH,18,29,47,0.38
HhI,6,4,10,0.6
HhK,4,5,9,0.44
HhL,29,41,70,0.41
HhM,96,115,211,0.45
HhN,78,90,168,0.46
HhP,122,133,255,0.48
HhS,92,95,187,0.49
Hhb,98,78,176,0.56
Hhh,73,80,153,0.48
Hhl,49,54,103,0.48
Hhm,94,86,180,0.52
Hhn,102,92,194,0.53
Hhs,100,81,181,0.55
Hht,15,11,26,0.58
HlB,66,87,153,0.43
HlD,17,8,25,0.68
HlH,64,52,116,0.55
HlI,7,5,12,0.58
HlJ,14,29,43,0.33
HlK,3,7,10,0.3
HlL,44,41,85,0.52
HlM,117,112,229,0.51
HlN,108,134,242,0.45
HlP,122,120,242,0.5
HlS,61,65,126,0.48
Hlb,100,104,204,0.49
Hlh,2,0,2,1.0
Hll,42,36,78,0.54
Hlm,79,63,142,0.56
Hln,66,81,147,0.45
Hls,55,65,120,0.46
HmB,170,180,350,0.49
HmD,48,44,92,0.52
HmH,150,161,311,0.48
HmI,14,12,26,0.54
HmJ,51,33,84,0.61
HmK,0,3,3,0.0
HmL,83,71,154,0.54
HmM,222,280,502,0.44
HmN,234,237,471,0.5
HmP,260,255,515,0.5
HmS,149,143,292,0.51
Hmb,219,175,394,0.56
Hmh,2,1,3,0.67
Hml,66,75,141,0.47
Hmm,197,170,367,0.54
Hmn,208,193,401,0.52
Hms,129,101,230,0.56
HnB,154,176,330,0.47
HnD,36,22,58,0.62
HnH,140,106,246,0.57
HnI,37,29,66,0.56
HnK,25,24,49,0.51
HnL,98,87,185,0.53
HnM,260,295,555,0.47
HnN,322,333,655,0.49
HnP,376,393,769,0.49
HnS,214,208,422,0.51
Hnb,241,202,443,0.54
Hnh,12,17,29,0.41
Hnl,104,87,191,0.54
Hnm,200,175,375,0.53
Hnn,301,251,552,0.55
Hns,204,150,354,0.58
Hnt,2,1,3,0.67
HsB,100,98,198,0.51
HsD,32,26,58,0.55
HsH,174,173,347,0.5
HsI,18,15,33,0.55
HsK,5,6,11,0.45
HsL,76,51,127,0.6
HsM,162,196,358,0.45
HsN,173,190,363,0.48
HsP,243,222,465,0.52
HsS,209,214,423,0.49
Hsb,147,148,295,0.5
Hsh,11,12,23,0.48
Hsl,73,72,145,0.5
Hsm,181,143,324,0.56
Hsn,171,168,339,0.5
Hss,190,171,361,0.53
Hst,2,2,4,0.5
HtB,9,12,21,0.43
HtD,2,0,2,1.0
HtH,6,13,19,0.32
HtI,1,0,1,1.0
HtK,2,1,3,0.67
HtL,6,2,8,0.75
HtM,18,15,33,0.55
HtN,16,15,31,0.52
HtP,23,21,44,0.52
HtS,16,9,25,0.64
Htb,12,17,29,0.41
Hth,2,0,2,1.0
Htl,10,4,14,0.71
Htm,15,10,25,0.6
Htn,11,17,28,0.39
Hts,20,10,30,0.67
Htt,2,2,4,0.5
IBB,34,27,61,0.56
IBD,5,3,8,0.62
IBH,0,1,1,0.0
IBI,1,0,1,1.0
IBK,5,6,11,0.45
IBL,8,9,17,0.47
IBM,34,25,59,0.58
IBN,32,38,70,0.46
IBP,32,39,71,0.45
IBS,23,17,40,0.57
IBb,28,25,53,0.53
IBh,3,4,7,0.43
IBj,11,1,12,0.92
IBl,18,12,30,0.6
IBm,34,29,63,0.54
IBn,45,39,84,0.54
IBs,16,16,32,0.5
IBt,5,5,10,0.5
IDB,9,6,15,0.6
IDD,7,3,10,0.7
IDH,8,5,13,0.62
IDI,1,0,1,1.0
IDL,3,3,6,0.5
IDM,6,8,14,0.43
IDN,7,9,16,0.44
IDP,8,13,21,0.38
IDS,9,10,19,0.47
IDb,10,8,18,0.56
IDh,0,1,1,0.0
IDl,6,5,11,0.55
IDm,10,6,16,0.62
IDn,4,5,9,0.44
IDs,11,2,13,0.85
IDt,0,0,0,
IHB,26,25,51,0.51
IHD,4,4,8,0.5
IHH,7,3,10,0.7
IHI,1,2,3,0.33
IHK,2,2,4,0.5
IHL,13,11,24,0.54
IHM,27,28,55,0.49
IHN,29,28,57,0.51
IHP,46,36,82,0.56
IHS,22,27,49,0.45
IHb,19,29,48,0.4
IHh,9,18,27,0.33
IHl,15,13,28,0.54
IHm,38,27,65,0.58
IHn,28,24,52,0.54
IHs,28,21,49,0.57
IHt,4,3,7,0.57
IIB,2,8,10,0.2
IID,0,1,1,0.0
IIH,6,3,9,0.67
III,1,0,1,1.0
IIL,1,1,2,0.5
IIM,1,8,9,0.11
IIN,3,3,6,0.5
IIP,5,2,7,0.71
IIS,4,5,9,0.44
IIb,6,3,9,0.67
IIl,2,1,3,0.67
IIm,9,3,12,0.75
IIn,2,6,8,0.25
IIs,1,3,4,0.25
IKB,0,1,1,0.0
IKL,1,0,1,1.0
IKM,2,1,3,0.67
IKN,1,1,2,0.5
IKP,2,0,2,1.0
IKS,0,1,1,0.0
IKb,1,0,1,1.0
IKh,1,0,1,1.0
IKm,0,1,1,0.0
IKn,1,0,1,1.0
IKs,1,0,1,1.0
ILB,10,16,26,0.38
ILD,3,3,6,0.5
ILK,5,3,8,0.62
ILL,6,9,15,0.4
ILM,11,19,30,0.37
ILN,23,13,36,0.64
ILP,22,18,40,0.55
ILS,7,12,19,0.37
ILb,11,16,27,0.41
ILh,3,3,6,0.5
ILj,4,2,6,0.67
ILl,11,9,20,0.55
ILm,19,18,37,0.51
ILn,19,20,39,0.49
ILs,15,8,23,0.65
ILt,6,6,12,0.5
IMB,28,36,64,0.44
IMD,8,11,19,0.42
IMH,1,0,1,1.0
IMI,0,1,1,0.0
IMK,0,1,1,0.0
IML,15,16,31,0.48
IMM,34,54,88,0.39
IMN,49,45,94,0.52
IMP,49,52,101,0.49
IMS,23,25,48,0.48
IMb,30,23,53,0.57
IMh,31,39,70,0.44
IMj,7,11,18,0.39
IMl,21,21,42,0.5
IMm,59,34,93,0.63
