,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
5455,SmMM,58,80,0.5800000000000001,138,0.64,22,0.5800000000000001,24,0.83,12,0.77,13,0.5,16,0.6436781609195402,87
5467,SmPB,43,44,0.51,87,0.6699999999999999,21,0.61,18,0.73,22,0.7,10,0.55,11,0.6585365853658537,82
5470,SmPM,49,71,0.5900000000000001,120,0.62,26,0.62,29,0.5700000000000001,21,0.54,24,0.6699999999999999,18,0.6016949152542372,118
5492,SmnN,67,78,0.54,145,0.55,22,0.53,17,0.5,22,0.55,20,0.81,21,0.5882352941176471,102
5515,SnHS,23,28,0.55,51,0.5,12,0.6699999999999999,9,0.75,12,0.5,12,0.71,7,0.6153846153846154,52
5529,SnMs,34,56,0.62,90,0.6,10,0.8,10,0.75,16,0.56,16,0.54,13,0.6461538461538462,65
5557,SnmJ,7,14,0.6699999999999999,21,0.5,2,0.8,5,0.5,2,0.75,4,0.5,2,0.6666666666666666,15
5561,Snmb,49,53,0.52,102,0.5,20,0.52,25,0.5,26,0.53,19,0.5700000000000001,21,0.5225225225225225,111
5571,SnsN,52,63,0.55,115,0.53,17,0.5800000000000001,12,0.6,15,0.5700000000000001,14,0.61,18,0.5789473684210527,76
5578,SsBn,43,45,0.51,88,0.5700000000000001,14,0.56,16,0.64,25,0.5,10,0.71,7,0.5972222222222222,72
5585,SsHN,49,57,0.54,106,0.56,25,0.5900000000000001,22,0.53,19,0.63,19,0.5,18,0.5631067961165048,103
5597,SsMB,58,63,0.52,121,0.6,10,0.6,20,0.62,21,0.54,13,0.5700000000000001,7,0.5915492957746479,71
5606,SsNL,12,14,0.54,26,0.6699999999999999,3,0.6699999999999999,9,0.78,9,0.5,2,0.83,6,0.7241379310344828,29
5623,SsPn,54,58,0.52,112,0.5,14,0.6699999999999999,18,0.5,22,0.5800000000000001,19,0.65,23,0.5833333333333334,96
5624,SsSH,48,61,0.56,109,0.78,9,0.5,10,0.5800000000000001,12,0.56,9,0.6,5,0.6,45
5626,SsSh,53,67,0.56,120,0.53,19,0.52,23,0.72,18,0.53,19,0.62,13,0.5760869565217391,92
5637,SslN,21,29,0.5800000000000001,50,0.5,6,0.6699999999999999,6,0.64,14,0.56,9,0.6,5,0.6,40
5645,SsmS,60,72,0.55,132,0.61,23,0.5,24,0.53,17,0.5,14,1.0,5,0.5662650602409639,83
5661,StNn,8,15,0.65,23,0.6699999999999999,3,0.5,4,1.0,5,0.62,8,0.6699999999999999,6,0.6923076923076923,26
5667,StmM,11,13,0.54,24,0.71,7,1.0,4,0.5,4,0.5,2,0.5,4,0.6666666666666666,21
5694,bBNh,24,28,0.54,52,0.6,15,0.9,10,0.71,17,0.64,14,0.75,4,0.7,60
5719,bBjM,11,16,0.5900000000000001,27,1.0,5,0.5,12,0.6,5,0.9,10,0.5,10,0.6666666666666666,42
5724,bBlB,9,18,0.6699999999999999,27,0.6699999999999999,3,0.6,10,0.5,10,0.75,4,0.5,6,0.5757575757575758,33
5729,bBls,10,11,0.52,21,1.0,3,0.5,2,0.75,4,1.0,2,1.0,2,0.8461538461538461,13
5751,bHMM,12,12,0.5,24,0.6,5,0.6699999999999999,9,0.86,7,0.8,10,0.5,8,0.6923076923076923,39
5758,bHNS,14,15,0.52,29,0.83,6,0.75,4,0.75,4,0.75,8,0.5,4,0.7307692307692307,26
